Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Victor Bernth Kristiansen,DEN,DF,Bologna,it Serie A,20.0,2307,25.6,0,3,3,0,0.3,0.3,2.4,23.0,123.0,0.0,0.011703511053315994,-0.3
Matúš Bero,SVK,"MF,FW",Bochum,de Bundesliga,27.0,1661,18.5,1,1,2,1,2.9,2.9,1.3,12.0,48.0,0.054184226369656835,0.15713425647200482,-1.9
Jan-Niklas Beste,GER,"FW,MF",Heidenheim,de Bundesliga,24.0,2603,28.9,8,11,19,8,4.3,3.5,5.7,80.0,57.0,0.27660391855551286,0.14867460622358816,3.7
Beto,GNB,FW,Everton,eng Premier League,25.0,951,10.6,3,0,3,3,6.8,6.0,0.9,14.0,14.0,0.28391167192429023,0.6435331230283912,-3.8
Sam Beukema,NED,DF,Bologna,it Serie A,24.0,2547,28.3,1,1,2,1,1.9,1.9,0.8,14.0,76.0,0.0353356890459364,0.06713780918727914,-0.8999999999999999
Jordan Beyer,GER,DF,Burnley,eng Premier League,23.0,1234,13.7,0,1,1,0,0.5,0.5,0.3,9.0,25.0,0.0,0.03646677471636953,-0.5
Jaka Bijol,SVN,DF,Udinese,it Serie A,24.0,2084,23.2,0,0,0,0,1.9,1.9,0.2,5.0,42.0,0.0,0.08205374280230326,-1.9
Philip Billing,DEN,MF,Bournemouth,eng Premier League,27.0,1398,15.5,2,2,4,2,2.5,2.5,3.2,22.0,53.0,0.12875536480686695,0.1609442060085837,-0.5
Cristiano Biraghi,ITA,DF,Fiorentina,it Serie A,30.0,2356,26.2,2,5,7,2,1.6,0.8,3.6,55.0,129.0,0.07640067911714771,0.06112054329371817,0.3999999999999999
Samuele Birindelli,ITA,DF,Monza,it Serie A,24.0,2013,22.4,0,2,2,0,1.1,1.1,2.9,63.0,70.0,0.0,0.04918032786885246,-1.1
Yves Bissouma,MLI,MF,Tottenham,eng Premier League,26.0,2068,23.0,0,0,0,0,1.4,1.4,0.4,43.0,169.0,0.0,0.0609284332688588,-1.4
Leonardo Bittencourt,GER,MF,Werder Bremen,de Bundesliga,29.0,1578,17.5,1,2,3,1,2.2,2.2,2.9,61.0,85.0,0.05703422053231939,0.12547528517110265,-1.2000000000000002
Marco Bizot,NED,GK,Brest,fr Ligue 1,32.0,2876,32.0,0,0,0,0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0
Antonio Blanco,ESP,MF,Alavés,es La Liga,23.0,2426,27.0,0,1,1,0,0.8,0.8,1.2,20.0,133.0,0.0,0.02967848309975268,-0.8
Ludovic Blas,FRA,"FW,MF",Rennes,fr Ligue 1,25.0,1563,17.4,4,1,5,3,4.7,3.1,1.7,46.0,59.0,0.23032629558541265,0.2706333973128599,-0.7000000000000002
Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32.0,1890,21.0,0,0,0,0,0.0,0.0,0.1,0.0,3.0,0.0,0.0,0.0
Alexis Blin,FRA,MF,Lecce,it Serie A,26.0,1642,18.2,0,2,2,0,1.1,1.1,0.7,7.0,60.0,0.0,0.060292326431181494,-1.1
Daley Blind,NED,DF,Girona,es La Liga,33.0,2972,33.0,1,2,3,1,1.7,1.7,1.1,48.0,209.0,0.03028263795423957,0.05148048452220727,-0.7
Jeremie Boga,CIV,FW,Nice,fr Ligue 1,26.0,1998,22.2,6,6,12,6,4.3,4.3,4.2,107.0,64.0,0.2702702702702703,0.19369369369369369,1.7000000000000002
Jayden Bogle,ENG,DF,Sheffield Utd,eng Premier League,23.0,2788,31.0,3,0,3,3,2.3,2.3,1.0,38.0,60.0,0.09684361549497847,0.0742467718794835,0.7000000000000002
Emil Bohinen,NOR,MF,Salernitana,it Serie A,24.0,535,5.9,0,0,0,0,0.1,0.1,0.2,7.0,26.0,0.0,0.016822429906542057,-0.1
Daniel Boloca,ROU,MF,Sassuolo,it Serie A,24.0,2022,22.5,1,0,1,1,0.5,0.5,0.4,27.0,109.0,0.044510385756676554,0.022255192878338277,0.5
Willy Boly,CIV,DF,Nott'ham Forest,eng Premier League,32.0,1438,16.0,2,1,3,2,1.5,1.5,1.3,4.0,32.0,0.12517385257301808,0.09388038942976357,0.5
Giacomo Bonaventura,ITA,MF,Fiorentina,it Serie A,33.0,2277,25.3,8,3,11,8,5.7,4.4,3.6,60.0,140.0,0.31620553359683795,0.22529644268774704,2.3
Federico Bonazzoli,ITA,"FW,MF",Hellas Verona,it Serie A,26.0,1016,11.3,3,1,4,3,2.9,2.9,1.1,13.0,26.0,0.26574803149606296,0.25688976377952755,0.10000000000000009
Warren Bondo,FRA,MF,Monza,it Serie A,19.0,1475,16.4,1,1,2,1,0.9,0.9,0.3,31.0,43.0,0.061016949152542375,0.05491525423728813,0.09999999999999998
Victor Boniface,NGA,FW,Leverkusen,de Bundesliga,22.0,1546,17.2,14,8,22,10,15.4,12.3,3.7,50.0,34.0,0.815006468305304,0.8965071151358345,-1.4000000000000004
Leonardo Bonucci,ITA,DF,Union Berlin,de Bundesliga,36.0,460,5.1,1,0,1,0,0.8,0.0,0.3,0.0,21.0,0.1956521739130435,0.1565217391304348,0.19999999999999996
Ângelo Borges,BRA,"FW,MF",Strasbourg,fr Ligue 1,18.0,1094,12.2,0,3,3,0,0.4,0.4,3.3,50.0,59.0,0.0,0.03290676416819013,-0.4
Neto Borges,BRA,DF,Clermont Foot,fr Ligue 1,26.0,2516,28.0,0,1,1,0,0.5,0.5,2.8,58.0,88.0,0.0,0.017885532591414944,-0.5
Sebastiaan Bornauw,BEL,DF,Wolfsburg,de Bundesliga,24.0,1431,15.9,0,0,0,0,0.8,0.8,0.4,2.0,41.0,0.0,0.05031446540880504,-0.8
Rafael Borré,COL,FW,Werder Bremen,de Bundesliga,27.0,991,11.0,4,0,4,4,2.4,2.4,1.8,16.0,28.0,0.3632694248234107,0.21796165489404642,1.6
Sven Botman,NED,DF,Newcastle Utd,eng Premier League,23.0,1377,15.3,2,2,4,2,0.6,0.6,1.0,0.0,35.0,0.13071895424836602,0.0392156862745098,1.4
Hicham Boudaoui,ALG,MF,Nice,fr Ligue 1,23.0,1613,17.9,2,0,2,2,3.3,3.3,1.8,28.0,78.0,0.11159330440173588,0.18412895226286422,-1.2999999999999998
Benjamin Bourigeaud,FRA,"MF,FW",Rennes,fr Ligue 1,29.0,2425,26.9,9,6,15,2,9.9,4.4,6.7,27.0,178.0,0.334020618556701,0.3674226804123712,-0.9000000000000004
Bilal Boutobba,FRA,"FW,MF",Clermont Foot,fr Ligue 1,24.0,926,10.3,1,1,2,1,2.0,2.0,1.7,38.0,43.0,0.09719222462203024,0.19438444924406048,-1.0
Edoardo Bove,ITA,MF,Roma,it Serie A,21.0,1780,19.8,0,2,2,0,2.0,2.0,0.7,21.0,88.0,0.0,0.10112359550561799,-2.0
Jarrod Bowen,ENG,FW,West Ham,eng Premier League,26.0,3019,33.5,16,6,22,16,11.6,11.6,5.5,90.0,52.0,0.4769791321629679,0.34580987081815173,4.4
Lucas Boyé,ARG,FW,Granada,es La Liga,27.0,2541,28.2,6,3,9,6,6.2,6.2,2.8,36.0,65.0,0.21251475796930341,0.21959858323494685,-0.20000000000000018
Domagoj Bradarić,CRO,DF,Salernitana,it Serie A,23.0,2749,30.5,0,3,3,0,0.8,0.8,1.8,57.0,76.0,0.0,0.0261913423062932,-0.8
Conor Bradley,NIR,DF,Liverpool,eng Premier League,20.0,753,8.4,1,3,4,1,0.9,0.9,1.5,35.0,29.0,0.1195219123505976,0.10756972111553784,0.09999999999999998
Julian Brandt,GER,"MF,FW",Dortmund,de Bundesliga,27.0,2223,24.7,7,11,18,7,4.4,4.4,9.5,74.0,116.0,0.28340080971659914,0.17813765182186236,2.5999999999999996
Jarrad Branthwaite,ENG,DF,Everton,eng Premier League,21.0,3116,34.6,3,0,3,3,1.7,1.7,1.0,2.0,74.0,0.08664955070603338,0.04910141206675225,1.3
Lilian Brassier,FRA,DF,Brest,fr Ligue 1,23.0,2677,29.7,3,0,3,3,1.1,1.1,0.6,20.0,121.0,0.10085917071348525,0.03698169592827793,1.9
Claudio Bravo,CHI,GK,Betis,es La Liga,40.0,630,7.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tim Breithaupt,GER,MF,Augsburg,de Bundesliga,21.0,629,7.0,0,0,0,0,0.1,0.1,0.1,0.0,21.0,0.0,0.014308426073131956,-0.1
Josip Brekalo,CRO,FW,Fiorentina,it Serie A,25.0,652,7.2,1,0,1,1,0.4,0.4,0.3,14.0,25.0,0.13803680981595093,0.05521472392638037,0.6
Gleison Bremer,BRA,DF,Juventus,it Serie A,26.0,3233,35.9,3,0,3,3,1.4,1.4,0.4,7.0,120.0,0.08351376430559851,0.0389730900092793,1.6
Ben Brereton,CHI,"FW,MF",Sheffield Utd,eng Premier League,24.0,1105,12.3,6,1,7,5,6.1,5.3,1.5,23.0,37.0,0.48868778280542985,0.4968325791855204,-0.09999999999999964
